First Name,Last Name,Constituency,Political Affiliation,Province,Honorific Title,Gender,Row,Column,PID,CID
Ziad,Aboultaif,Edmonton Manning,Conservative,,Alberta,,M,3,23,89156,8781
Dan,Albas,Central Okanagan—Similkameen—Nicola,Conservative,,British Columbia,,M,1,5,72029,8781
Harold,Albrecht,Kitchener—Conestoga,Conservative,,Ontario,,M,2,9,35607,8781
John,Aldag,Cloverdale—Langley City,Liberal,,British Columbia,,M,9,42,89258,4
Omar,Alghabra,Mississauga Centre,Liberal,,Ontario,,M,9,12,89535,4
Leona,Alleslev,Aurora—Oak Ridges—Richmond Hill,Liberal,,Ontario,,F,9,32,88671,4
Dean,Allison,Niagara West,Conservative,,Ontario,,M,3,14,25446,8781
Rona,Ambrose,Sturgeon River—Parkland,Conservative,Hon.,Alberta,,F,4,20,25447,8781
William,Amos,Pontiac,Liberal,,Quebec,,M,9,44,89527,4
Gary,Anandasangaree,Scarborough—Rouge Park,Liberal,,Ontario,,M,9,45,89449,4
David,Anderson,Cypress Hills—Grasslands,Conservative,,Saskatchewan,,M,4,9,1795,8781
Charlie,Angus,Timmins—James Bay,NDP,,Ontario,,M,4,41,25470,3
Mel,Arnold,North Okanagan—Shuswap,Conservative,,British Columbia,,M,1,15,89294,8781
René,Arseneault,Madawaska—Restigouche,Liberal,,New Brunswick,,M,9,47,89383,4
Chandra,Arya,Nepean,Liberal,,Ontario,,M,10,2,88860,4
Niki,Ashton,Churchill—Keewatinook Aski,NDP,,Manitoba,,F,4,33,36037,3
Robert,Aubin,Trois-Rivières,NDP,,Quebec,,M,2,35,71560,3
Ramez,Ayoub,Thérèse-De Blainville,Liberal,,Quebec,,M,10,3,88419,4
Vance,Badawey,Niagara Centre,Liberal,,Ontario,,M,10,4,88867,4
Larry,Bagnell,Yukon,Liberal,Hon.,Yukon,,M,7,47,1796,4
Navdeep,Bains,Mississauga—Malton,Liberal,Hon.,Ontario,,M,7,35,25471,4
John,Barlow,Foothills,Conservative,,Alberta,,M,1,11,86261,8781
Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Bloc Québécois,,Quebec,,M,0,40,88422,6
Frank,Baylis,Pierrefonds—Dollard,Liberal,,Quebec,,M,10,5,88578,4
Mario,Beaulieu,La Pointe-de-l'Île,Bloc Québécois,,Quebec,,M,0,39,376,6
Terry,Beech,Burnaby North—Seymour,Liberal,,British Columbia,,M,9,26,89236,4
Carolyn,Bennett,Toronto—St. Paul's,Liberal,Hon.,Ontario,,F,7,38,992,4
Sheri,Benson,Saskatoon West,NDP,,Saskatchewan,,F,1,34,89090,3
Candice,Bergen,Portage—Lisgar,Conservative,Hon.,Manitoba,,F,4,18,59110,8781
Maxime,Bernier,Beauce,Conservative,Hon.,Quebec,,M,0,27,35309,8781
Luc,Berthold,Mégantic—L'Érable,Conservative,,Quebec,,M,1,17,88541,8781
James,Bezan,Selkirk—Interlake—Eastman,Conservative,,Manitoba,,M,4,12,25475,8781
Marie-Claude,Bibeau,Compton—Stanstead,Liberal,Hon.,Quebec,,F,7,30,88449,4
Chris,Bittle,St. Catharines,Liberal,,Ontario,,M,10,6,88934,4
Daniel,Blaikie,Elmwood—Transcona,NDP,,Manitoba,,M,1,32,89032,3
Bill,Blair,Scarborough Southwest,Liberal,,Ontario,,M,9,30,88961,4
Rachel,Blaney,North Island—Powell River,NDP,,British Columbia,,F,1,45,89354,3
Steven,Blaney,Bellechasse—Les Etchemins—Lévis,Conservative,Hon.,Quebec,,M,0,10,35389,8781
Kelly,Block,Carlton Trail—Eagle Creek,Conservative,,Saskatchewan,,F,4,11,59156,8781
Randy,Boissonnault,Edmonton Centre,Liberal,,Alberta,,M,8,12,89147,4
Mike,Bossio,Hastings—Lennox and Addington,Liberal,,Ontario,,M,10,8,88786,4
Sylvie,Boucher,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Conservative,,Quebec,,F,2,21,35320,8781
Michel,Boudrias,Terrebonne,Bloc Québécois,,Quebec,,M,0,42,88651,6
Alexandre,Boulerice,Rosemont—La Petite-Patrie,NDP,,Quebec,,M,3,42,58775,3
Marjolaine,Boutin-Sweet,Hochelaga,NDP,,Quebec,,F,3,35,71395,3
John,Brassard,Barrie—Innisfil,Conservative,,Ontario,,M,3,30,88674,8781
Bob,Bratina,Hamilton East—Stoney Creek,Liberal,,Ontario,,M,10,9,88775,4
Pierre,Breton,Shefford,Liberal,,Quebec,,M,10,10,58707,4
Scott,Brison,Kings—Hants,Liberal,Hon.,Nova Scotia,,M,7,24,74,4
Ruth Ellen,Brosseau,Berthier—Maskinongé,NDP,,Quebec,,F,3,41,71357,3
Gordon,Brown,Leeds—Grenville—Thousand Islands and Rideau Lakes,Conservative,,Ontario,,M,3,20,25483,8781
Celina,Caesar-Chavannes,Whitby,Liberal,,Ontario,,F,9,18,86786,4
Blaine,Calkins,Red Deer—Lacombe,Conservative,,Alberta,,M,2,11,35897,8781
Richard,Cannings,South Okanagan—West Kootenay,NDP,,British Columbia,,M,1,36,89327,3
Guy,Caron,Rimouski-Neigette—Témiscouata—Les Basques,NDP,,Quebec,,M,2,38,23915,3
Jim,Carr,Winnipeg South Centre,Liberal,Hon.,Manitoba,,M,8,17,89059,4
Colin,Carrie,Oshawa,Conservative,,Ontario,,M,3,15,25486,8781
Bill,Casey,Cumberland—Colchester,Liberal,,Nova Scotia,,M,8,2,51,4
Sean,Casey,Charlottetown,Liberal,,Prince Edward Island,,M,9,29,71270,4
Bardish,Chagger,Waterloo,Liberal,Hon.,Ontario,,F,7,18,89000,4
François-Philippe,Champagne,Saint-Maurice—Champlain,Liberal,,Quebec,,M,9,24,88633,4
Arnold,Chan,Scarborough—Agincourt,Liberal,,Ontario,,M,9,9,86249,4
Shaun,Chen,Scarborough North,Liberal,,Ontario,,M,10,11,88953,4
Michael,Chong,Wellington—Halton Hills,Conservative,Hon.,Ontario,,M,0,9,25488,8781
François,Choquette,Drummond,NDP,,Quebec,,M,2,45,35351,3
David,Christopherson,Hamilton Centre,NDP,,Ontario,,M,4,39,25489,3
Alupa,Clarke,Beauport—Limoilou,Conservative,,Quebec,,M,3,11,88404,8781
Tony,Clement,Parry Sound—Muskoka,Conservative,Hon.,Ontario,,M,4,15,15975,8781
Michael,Cooper,St. Albert—Edmonton,Conservative,,Alberta,,M,1,18,89219,8781
Serge,Cormier,Acadie—Bathurst,Liberal,,New Brunswick,,M,9,15,88350,4
Nathan,Cullen,Skeena—Bulkley Valley,NDP,,British Columbia,,M,4,44,25493,3
Rodger,Cuzner,Cape Breton—Canso,Liberal,,Nova Scotia,,M,8,14,1804,4
Julie,Dabrusin,Toronto—Danforth,Liberal,,Ontario,,F,10,12,88994,4
Pam,Damoff,Oakville North—Burlington,Liberal,,Ontario,,F,10,14,88884,4
Don,Davies,Vancouver Kingsway,NDP,,British Columbia,,M,4,42,59325,3
Matt,DeCourcey,Fredericton,Liberal,,New Brunswick,,M,10,15,88355,4
Gérard,Deltell,Louis-Saint-Laurent,Conservative,,Quebec,,M,4,17,88535,8781
Sukh,Dhaliwal,Surrey—Newton,Liberal,,British Columbia,,M,8,44,31098,4
Anju,Dhillon,Dorval—Lachine—LaSalle,Liberal,,Quebec,,F,9,11,88453,4
Nicola,Di Iorio,Saint-Léonard—Saint-Michel,Liberal,,Quebec,,M,10,16,88627,4
Stéphane,Dion,Saint-Laurent,Liberal,Hon.,Quebec,,M,7,15,460,4
Kerry,Diotte,Edmonton Griesbach,Conservative,,Alberta,,M,1,21,89150,8781
Todd,Doherty,Cariboo—Prince George,Conservative,,British Columbia,,M,3,9,89249,8781
